cliente_id,nome,data_nascimento,genero,cidade,estado,data_cadastro,segmento
10063,William Almeida,1987-12-31,F,Florianópolis,SC,2025-01-21,
10064,Felipe Pereira,1989-05-17,F,Campinas,SP,2018-12-28,
10065,Daniel Araújo,1986-04-08,F,Belo Horizonte,MG,2021-02-13,
10066,Ana Nascimento,1952-08-05,F,Campinas,SP,2018-04-01,
10067,Bruno Souza,2002-11-10,F,Joinville,SC,2025-07-09,
10068,Isabela Fernandes,1969-01-28,M,Porto Alegre,RS,2021-05-24,
10069,João Silva,2002-08-17,M,Londrina,PR,2018-10-21,
10070,Ana Fernandes,1964-04-18,M,Florianópolis,SC,2025-03-31,
10071,João Lima,1957-01-27,F,São Paulo,SP,2020-10-22,
10072,Empresa Nascimento 072 Ltda,2002-09-22,PJ,Blumenau,SC,2018-01-26,
10073,Natália Silva,1952-07-24,F,São Paulo,SP,2023-11-19,
10074,Empresa Nascimento 074 Ltda,2008-01-21,PJ,Porto Alegre,RS,2022-09-04,
10075,Sabrina Costa,1961-04-07,F,Goiânia,GO,2019-05-04,
10076,William Nascimento,1956-01-30,M,Campinas,SP,2026-04-25,
10077,Isabela Oliveira,1953-04-05,M,Londrina,PR,2022-12-29,
10078,Sabrina Pereira,1978-11-17,M,Santa Cruz do Sul,RS,2026-12-24,
10079,Sabrina Nascimento,1958-12-09,M,Joinville,SC,2022-06-02,
10080,Otávio Araújo,1974-05-29,F,Santa Cruz do Sul,RS,2024-07-17,
10081,Bruno Rodrigues,1995-02-06,M,Florianópolis,XX,2022-11-29,Pessoa Física
10082,Eduarda Pereira,1963-11-15,M,Blumenau,XX,2018-01-30,Alta Renda
10083,Rafael Almeida,1964-05-16,M,Porto Alegre,XX,2025-12-10,Alta Renda
10084,Isabela Silva,1950-12-20,F,Campinas,XX,2023-09-14,Pessoa Física
10085,Ana Almeida,1958-08-21,M,Joinville,XX,2020-06-20,Pessoa Física
10086,Natália Rodrigues,1956-09-26,F,Curitiba,XX,2025-04-01,Pessoa Física
10087,Bruno Almeida,1992-01-11,F,Blumenau,XX,2018-06-03,Alta Renda
10088,Empresa Pereira 088 Ltda,2019-02-23,PJ,Brasília,XX,2020-01-22,Pessoa Jurídica
10089,Ana Fernandes,1984-09-11,F,Curitiba,XX,2019-07-06,Pessoa Física
10090,Bruno Rodrigues,1972-06-11,F,Santa Maria,XX,2022-03-21,Alta Renda
10091,Empresa Araújo 091 Ltda,1995-08-07,PJ,Londrina,XX,2025-06-20,Pessoa Jurídica
10092,Empresa Nascimento 092 Ltda,2005-01-06,PJ,Florianópolis,XX,2022-08-20,Pessoa Jurídica
10093,William Fernandes,1952-05-07,M,Brasília,XX,2023-03-13,Pessoa Física
10094,Empresa Almeida 094 Ltda,2001-01-06,PJ,Santa Maria,XX,2023-09-02,Pessoa Jurídica
10095,Empresa Araújo 095 Ltda,2000-05-23,PJ,Belo Horizonte,XX,2020-10-13,Pessoa Jurídica
10096,Tiago Silva,1985-01-04,F,Brasília,XX,2023-09-12,Alta Renda
10097,Henrique Araújo,1958-01-05,M,Porto Alegre,XX,2019-11-30,Pessoa Física
10098,Eduarda Silva,1991-06-09,M,Brasília,XX,2018-08-30,Pessoa Física
10099,Isabela Rodrigues,1968-02-24,F,Curitiba,XX,2020-09-22,Alta Renda
10100,Sabrina Lima,1966-07-18,M,Porto Alegre,XX,2021-12-14,Alta Renda
10101,Isabela Santos,1990-07-27,M,Caxias do Sul,RS,2021-07-11,Pessoa Física
10102,Ana Silva,1955-12-20,F,Belo Horizonte,MG,2019-08-05,Pessoa Física
10103,Sabrina Oliveira,1991-10-29,F,Joinville,SC,2023-08-25,Alta Renda
10104,Empresa Oliveira 104 Ltda,2001-02-26,PJ,Blumenau,SC,2019-12-15,Pessoa Jurídica
10105,Carla Almeida,2003-02-07,F,Brasília,DF,2020-01-07,Pessoa Física
10106,Gabriela Oliveira,2001-08-18,F,Londrina,PR,2018-01-14,Pessoa Física
10107,Daniel Santos,1975-06-19,F,Belo Horizonte,MG,2025-03-16,Pessoa Física
10108,Empresa Silva 108 Ltda,1998-02-20,PJ,Caxias do Sul,RS,2019-09-17,Pessoa Jurídica
10109,Daniel Fernandes,1953-05-05,F,Joinville,SC,2022-03-10,Pessoa Física
10110,Empresa Santos 110 Ltda,2001-06-07,PJ,Londrina,PR,2018-08-02,Pessoa Jurídica
10111,Empresa Pereira 111 Ltda,2011-04-21,PJ,Porto Alegre,RS,2025-05-20,Pessoa Jurídica
10112,Ana Pereira,1966-10-05,M,Caxias do Sul,RS,2023-05-17,Pessoa Física
10113,Sabrina Rodrigues,1962-01-31,F,Caxias do Sul,RS,2025-03-22,Pessoa Física
10114,Eduarda Fernandes,2005-12-13,M,Florianópolis,SC,2025-11-01,Alta Renda
10115,Gabriela Nascimento,1953-04-23,M,Curitiba,PR,2019-08-07,Pessoa Física
10116,Larissa Silva,1960-07-23,M,São Paulo,SP,2021-09-02,Pessoa Física
10117,Tiago Nascimento,2004-10-24,F,Brasília,DF,2023-12-13,Pessoa Física
10118,Larissa Silva,1969-06-11,F,Vitória,ES,2025-07-14,Pessoa Física
10119,Bruno Silva,1985-09-28,M,São Paulo,SP,2025-01-29,Alta Renda
10120,Daniel Santos,1992-10-14,F,Brasília,DF,2022-11-23,Pessoa Física
10121,Henrique Araújo,1977-12-31,F,Santa Maria,RS,2019-08-28,Pessoa Física
10122,Marcos Souza,1976-03-29,F,Londrina,PR,2021-11-20,Pessoa Física
10123,William Pereira,1981-01-27,F,Santa Maria,RS,2021-05-15,Pessoa Física
10124,Vanessa Souza,1957-11-24,M,Goiânia,GO,2021-05-09,Alta Renda
10125,Carla Pereira,1964-07-07,F,Porto Alegre,RS,2026-03-10,Alta Renda
10126,Daniel Costa,1992-06-15,F,São Paulo,SP,2023-06-06,Alta Renda
10127,Gabriela Lima,1995-01-24,F,Santa Cruz do Sul,RS,2026-02-21,Pessoa Física
10128,Sabrina Lima,1989-07-27,F,Vitória,ES,2022-11-10,Pessoa Física
10129,Otávio Araújo,1996-04-26,F,Campinas,SP,2026-02-18,Pessoa Física
10130,Larissa Almeida,1976-06-28,F,São Paulo,SP,2018-02-18,Pessoa Física
10131,Empresa Oliveira 131 Ltda,2007-04-29,PJ,Rio de Janeiro,RJ,2025-12-04,Pessoa Jurídica
10132,Tiago Pereira,1952-12-04,M,Rio de Janeiro,RJ,2025-09-13,Pessoa Física
10133,Empresa Souza 133 Ltda,1995-08-21,PJ,Blumenau,SC,2023-09-28,Pessoa Jurídica
10134,Larissa Silva,1959-02-28,M,Rio de Janeiro,RJ,2021-03-25,Alta Renda
10135,Marcos Santos,1959-04-11,M,Londrina,PR,2022-03-11,Pessoa Física
10136,Sabrina Souza,2001-05-16,F,Santa Cruz do Sul,RS,2022-01-02,Pessoa Física
10137,William Souza,1954-05-14,M,Londrina,PR,2020-07-22,Pessoa Física
10138,Sabrina Oliveira,2003-08-22,F,Vitória,ES,2018-02-18,Pessoa Física
10139,Ana Lima,1988-08-31,M,Campinas,SP,2026-03-22,Pessoa Física
10140,Patrícia Lima,1956-04-25,F,Belo Horizonte,MG,2021-02-24,Pessoa Física
10141,Larissa Almeida,1979-12-09,F,Porto Alegre,RS,2019-05-03,Pessoa Física
10142,Empresa Fernandes 142 Ltda,2006-02-07,PJ,Londrina,PR,2024-03-19,Pessoa Jurídica
10143,Bruno Oliveira,1953-04-28,M,Joinville,SC,2020-03-07,Pessoa Física
10144,Marcos Fernandes,1968-02-06,F,Florianópolis,SC,2018-07-06,Alta Renda
10145,Tiago Pereira,1989-01-25,M,Caxias do Sul,RS,2021-07-11,Pessoa Física
10146,Ana Nascimento,1985-05-08,F,Goiânia,GO,2026-03-13,Pessoa Física
10147,Empresa Lima 147 Ltda,2008-01-21,PJ,Vitória,ES,2020-05-06,Pessoa Jurídica
10148,Empresa Nascimento 148 Ltda,2018-07-02,PJ,Florianópolis,SC,2021-03-01,Pessoa Jurídica
10149,Rafael Almeida,2001-02-10,M,Porto Alegre,RS,2023-06-27,Pessoa Física
10150,Empresa Nascimento 150 Ltda,2001-05-18,PJ,Belo Horizonte,MG,2023-02-16,Pessoa Jurídica
10151,Empresa Oliveira 151 Ltda,2015-04-07,PJ,São Paulo,SP,2025-01-04,Pessoa Jurídica
10152,Empresa Silva 152 Ltda,2017-05-14,PJ,Porto Alegre,RS,2021-07-08,Pessoa Jurídica
10153,Eduarda Almeida,1974-11-04,F,São Paulo,SP,2025-05-18,Pessoa Física
10154,João Souza,2001-04-17,F,Rio de Janeiro,RJ,2020-07-15,Pessoa Física
10155,Vanessa Fernandes,1976-09-02,M,Vitória,ES,2019-05-19,Pessoa Física
10156,Empresa Silva 156 Ltda,2020-05-25,PJ,Porto Alegre,RS,2023-01-24,Pessoa Jurídica
10157,Vanessa Souza,1994-05-05,M,Campinas,SP,2019-10-19,Pessoa Física
10158,João Souza,1960-05-24,F,Santa Maria,RS,2024-04-15,Alta Renda
10159,Patrícia Fernandes,1958-09-30,M,Rio de Janeiro,RJ,2026-04-10,Pessoa Física
10160,João Araújo,1951-05-05,M,Campinas,SP,2025-08-19,Pessoa Física
10161,Sabrina Costa,1983-08-06,F,Londrina,PR,2019-06-04,Alta Renda
10162,Tiago Souza,1987-08-08,M,Florianópolis,SC,2024-08-26,Pessoa Física
10163,Natália Lima,1956-10-12,F,Santa Maria,RS,2018-08-20,Pessoa Física
10164,Eduarda Araújo,1958-06-14,M,Vitória,ES,2022-10-10,Alta Renda
10165,William Oliveira,1959-03-06,F,Goiânia,GO,2025-06-13,Pessoa Física
10166,Isabela Rodrigues,1978-04-11,M,São Paulo,SP,2019-09-04,Pessoa Física
10167,William Araújo,2004-08-04,M,Londrina,PR,2026-05-31,Alta Renda
10168,Rafael Rodrigues,1982-04-02,F,Caxias do Sul,RS,2022-12-13,Pessoa Física
10169,Carla Fernandes,1996-11-17,F,Belo Horizonte,MG,2025-06-23,Pessoa Física
10170,João Fernandes,1999-02-22,F,Curitiba,PR,2018-10-23,Alta Renda
10171,Felipe Rodrigues,1983-12-02,F,Goiânia,GO,2022-07-20,Pessoa Física
10172,Carla Rodrigues,1968-01-06,F,Florianópolis,SC,2025-12-31,Alta Renda
10173,Isabela Rodrigues,1975-08-19,M,Florianópolis,SC,2022-12-07,Pessoa Física
10174,Henrique Souza,1962-10-12,M,Florianópolis,SC,2025-10-03,Alta Renda
10175,Bruno Almeida,1960-08-07,F,Vitória,ES,2025-08-10,Pessoa Física
10176,Larissa Costa,1984-02-27,F,Campinas,SP,2021-07-17,Pessoa Física
10177,Natália Fernandes,1980-11-20,F,Goiânia,GO,2021-05-18,Alta Renda
10178,Tiago Rodrigues,1963-11-26,F,Goiânia,GO,2020-02-07,Alta Renda
10179,Daniel Silva,1968-10-08,F,Brasília,DF,2018-03-22,Alta Renda
10180,Gabriela Silva,1956-11-24,M,Florianópolis,SC,2022-12-27,Pessoa Física
10181,Felipe Almeida,2005-09-20,M,Londrina,PR,2021-05-25,Pessoa Física
10182,Eduarda Souza,1972-03-05,M,Santa Maria,RS,2019-10-26,Alta Renda
10183,Gabriela Oliveira,1998-09-17,F,Joinville,SC,2025-05-27,Pessoa Física
10184,Henrique Fernandes,2001-09-21,M,Blumenau,SC,2021-04-01,Pessoa Física
10185,Daniel Costa,1967-02-19,M,Belo Horizonte,MG,2021-08-08,Alta Renda
10186,Gabriela Santos,1965-08-10,F,Blumenau,SC,2024-04-03,Pessoa Física
10187,Tiago Araújo,1981-01-22,F,Curitiba,PR,2021-05-27,Alta Renda
10188,William Fernandes,1950-10-06,F,Vitória,ES,2023-04-20,Pessoa Física
10189,Felipe Costa,2005-04-22,F,Joinville,SC,2026-04-16,Alta Renda
10190,Isabela Silva,1978-09-11,F,Vitória,ES,2026-06-19,Alta Renda
10191,Empresa Santos 191 Ltda,2003-04-16,PJ,Porto Alegre,RS,2020-07-26,Pessoa Jurídica
10192,João Lima,1950-07-11,M,Santa Maria,RS,2024-12-11,Pessoa Física
10193,Sabrina Lima,1962-09-12,M,Santa Cruz do Sul,RS,2023-05-11,Pessoa Física
10194,Tiago Costa,1969-03-01,F,Santa Maria,RS,2026-04-08,Pessoa Física
10195,Carla Almeida,1977-03-08,M,Rio de Janeiro,RJ,2023-02-15,Alta Renda
10196,Empresa Nascimento 196 Ltda,2006-01-19,PJ,Santa Maria,RS,2022-12-03,Pessoa Jurídica
10197,Bruno Oliveira,1969-05-08,M,Rio de Janeiro,RJ,2020-07-21,Pessoa Física
10198,João Rodrigues,1951-05-21,F,Curitiba,PR,2022-08-12,Pessoa Física
10199,Rafael Costa,1950-03-27,M,Caxias do Sul,RS,2022-12-13,Pessoa Física
10200,Empresa Lima 200 Ltda,2014-06-23,PJ,Joinville,SC,2018-05-05,Pessoa Jurídica
10201,Empresa Araújo 201 Ltda,2009-10-07,PJ,Porto Alegre,RS,2024-06-26,Pessoa Jurídica
10202,Patrícia Souza,1957-12-19,F,Santa Cruz do Sul,RS,2022-12-19,Pessoa Física
10203,Patrícia Costa,1985-12-24,F,Goiânia,GO,2023-04-19,Pessoa Física
10204,Carla Oliveira,1969-11-12,F,Joinville,SC,2021-01-23,Pessoa Física
10205,Ana Silva,1965-12-23,M,Caxias do Sul,RS,2020-10-23,Alta Renda
10206,Larissa Silva,1997-08-29,F,Joinville,SC,2024-09-11,Pessoa Física
10207,Rafael Santos,1964-07-11,F,Brasília,DF,2021-01-03,Pessoa Física
10208,Patrícia Oliveira,1966-01-11,M,Santa Maria,RS,2020-10-28,Alta Renda
10209,Vanessa Silva,1953-07-10,M,Curitiba,PR,2020-02-08,Pessoa Física
10210,Isabela Silva,1963-02-04,M,Brasília,DF,2020-02-11,Alta Renda
10211,João Costa,2003-07-28,M,São Paulo,SP,2018-04-09,Pessoa Física
10212,Eduarda Araújo,1972-10-19,M,Porto Alegre,RS,2022-08-29,Pessoa Física
10213,Eduarda Araújo,1992-03-05,F,Curitiba,PR,2026-05-28,Alta Renda
10214,Sabrina Lima,1953-12-27,M,Brasília,DF,2024-08-01,Pessoa Física
10215,Tiago Pereira,1951-10-23,M,Rio de Janeiro,RJ,2022-02-03,Pessoa Física
10216,Sabrina Pereira,1997-06-10,F,Curitiba,PR,2019-03-07,Pessoa Física
10217,William Fernandes,1982-07-06,F,Florianópolis,SC,2025-02-14,Alta Renda
10218,Gabriela Fernandes,1961-03-07,F,Belo Horizonte,MG,2024-06-15,Pessoa Física
10219,Isabela Nascimento,1999-05-07,F,Rio de Janeiro,RJ,2020-03-23,Pessoa Física
10220,Empresa Silva 220 Ltda,2018-08-05,PJ,Curitiba,PR,2018-01-19,Pessoa Jurídica
10221,Ana Santos,1950-11-13,F,Blumenau,SC,2025-11-15,Pessoa Física
10222,Rafael Oliveira,1986-08-14,M,Santa Maria,RS,2025-03-22,Alta Renda
10223,Vanessa Rodrigues,1957-12-31,M,Rio de Janeiro,RJ,2020-08-12,Alta Renda
10224,Tiago Costa,1986-08-24,F,Santa Cruz do Sul,RS,2019-05-22,Pessoa Física
10225,Patrícia Rodrigues,1976-03-21,M,Caxias do Sul,RS,2021-08-26,Pessoa Física
10226,Bruno Almeida,2005-01-18,M,Porto Alegre,RS,2019-03-12,Alta Renda
10227,Rafael Lima,1977-11-02,M,Campinas,SP,2022-04-30,Pessoa Física
10228,Empresa Santos 228 Ltda,2003-12-25,PJ,Caxias do Sul,RS,2025-04-27,Pessoa Jurídica
10229,Felipe Lima,1991-12-17,F,Belo Horizonte,MG,2021-12-06,Alta Renda
10230,Marcos Pereira,2003-09-16,M,Santa Cruz do Sul,RS,2022-08-31,Pessoa Física
10231,Empresa Almeida 231 Ltda,1998-08-09,PJ,Florianópolis,SC,2022-11-13,Pessoa Jurídica
10232,Larissa Pereira,1958-12-23,F,Santa Maria,RS,2025-08-25,Pessoa Física
10233,Eduarda Almeida,1994-07-24,M,Vitória,ES,2020-01-18,Pessoa Física
10234,William Nascimento,1980-08-15,M,Londrina,PR,2019-11-12,Pessoa Física
10235,Carla Lima,2005-02-18,F,Santa Cruz do Sul,RS,2023-07-31,Pessoa Física
10236,Vanessa Costa,1951-07-09,F,Belo Horizonte,MG,2025-10-08,Pessoa Física
10237,Eduarda Lima,1967-12-16,F,Joinville,SC,2024-04-01,Alta Renda
10238,Empresa Araújo 238 Ltda,2009-08-21,PJ,Goiânia,GO,2024-04-22,Pessoa Jurídica
10239,Isabela Souza,1951-10-06,F,Londrina,PR,2026-09-30,Pessoa Física
10240,Rafael Santos,1989-09-21,F,Brasília,DF,2025-12-18,Pessoa Física
10241,Patrícia Lima,1974-09-04,F,Goiânia,GO,2023-08-08,Pessoa Física
10242,Patrícia Araújo,1953-12-26,F,Blumenau,SC,2024-12-20,Pessoa Física
10243,Henrique Costa,1986-10-16,F,Rio de Janeiro,RJ,2022-12-21,Alta Renda
10244,Patrícia Rodrigues,1977-03-17,M,Santa Maria,RS,2018-06-13,Alta Renda
10245,Eduarda Santos,1995-06-24,F,Belo Horizonte,MG,2025-09-22,Alta Renda
10246,William Almeida,1987-04-02,M,Joinville,SC,2026-01-11,Alta Renda
10247,William Santos,1997-02-23,F,Caxias do Sul,RS,2019-03-02,Pessoa Física
10248,Empresa Souza 248 Ltda,2015-01-24,PJ,Curitiba,PR,2019-06-11,Pessoa Jurídica
10249,Sabrina Pereira,1983-02-11,M,Florianópolis,SC,2024-07-07,Pessoa Física
10250,Vanessa Santos,1979-02-10,M,Goiânia,GO,2022-11-11,Alta Renda
10251,Carla Lima,2005-05-04,M,Goiânia,GO,2024-09-19,Alta Renda
10252,Carla Nascimento,1972-05-21,F,Joinville,SC,2022-07-24,Pessoa Física
10253,Sabrina Oliveira,1996-03-10,M,Goiânia,GO,2023-03-09,Alta Renda
10254,Otávio Costa,1983-11-27,F,Curitiba,PR,2019-07-11,Pessoa Física
10255,Empresa Oliveira 255 Ltda,1997-06-17,PJ,Porto Alegre,RS,2022-07-22,Pessoa Jurídica
10256,Larissa Rodrigues,1981-02-12,F,Brasília,DF,2022-05-21,Pessoa Física
10257,Isabela Oliveira,1989-03-31,F,Blumenau,SC,2021-06-11,Pessoa Física
10258,Otávio Oliveira,1958-10-25,F,São Paulo,SP,2025-03-03,Pessoa Física
10259,João Santos,1956-03-23,F,Rio de Janeiro,RJ,2019-07-02,Pessoa Física
10260,Carla Fernandes,1966-02-28,M,Belo Horizonte,MG,2022-08-29,Pessoa Física
10261,William Fernandes,1982-10-14,M,Porto Alegre,RS,2024-09-10,Alta Renda
10262,Isabela Souza,1952-04-27,M,Campinas,SP,2022-02-15,Pessoa Física
10263,Patrícia Araújo,1959-02-14,M,Caxias do Sul,RS,2019-02-03,Pessoa Física
10264,Empresa Pereira 264 Ltda,1995-03-09,PJ,Belo Horizonte,MG,2022-11-21,Pessoa Jurídica
10265,Felipe Fernandes,1972-01-05,M,Brasília,DF,2024-04-23,Pessoa Física
10266,Vanessa Pereira,1975-09-16,F,São Paulo,SP,2025-08-29,Alta Renda
10267,Empresa Araújo 267 Ltda,2006-12-02,PJ,Porto Alegre,RS,2025-11-05,Pessoa Jurídica
10268,Otávio Pereira,1961-05-14,M,Blumenau,SC,2021-03-02,Pessoa Física
10269,Daniel Araújo,1995-07-26,F,Porto Alegre,RS,2024-08-01,Pessoa Física
10270,Daniel Pereira,1985-01-15,F,Belo Horizonte,MG,2019-01-13,Pessoa Física
10271,Eduarda Souza,2005-03-15,M,Caxias do Sul,RS,2026-05-19,Alta Renda
10272,Rafael Pereira,1976-10-25,F,Florianópolis,SC,2019-03-01,Pessoa Física
10273,Patrícia Fernandes,1957-10-25,M,Rio de Janeiro,RJ,2021-01-09,Pessoa Física
10274,Ana Oliveira,2004-02-17,M,Goiânia,GO,2022-08-28,Alta Renda
10275,Empresa Fernandes 275 Ltda,2002-09-30,PJ,Santa Cruz do Sul,RS,2026-04-19,Pessoa Jurídica
10276,William Silva,1953-09-01,F,Campinas,SP,2025-08-23,Pessoa Física
10277,Vanessa Pereira,1984-03-08,M,Londrina,PR,2026-04-19,Pessoa Física
10278,Empresa Fernandes 278 Ltda,2018-02-15,PJ,Santa Cruz do Sul,RS,2021-10-30,Pessoa Jurídica
10279,Henrique Souza,1999-08-26,M,Belo Horizonte,MG,2022-05-04,Alta Renda
10280,João Nascimento,1971-07-18,F,Caxias do Sul,RS,2020-08-29,Alta Renda
10281,Tiago Costa,1976-12-28,M,Rio de Janeiro,RJ,2018-01-24,Pessoa Física
10282,Henrique Fernandes,1994-01-25,F,Blumenau,SC,2018-01-13,Pessoa Física
10283,Ana Rodrigues,1977-06-09,F,Rio de Janeiro,RJ,2020-01-09,Pessoa Física
10284,Empresa Silva 284 Ltda,2014-11-06,PJ,Campinas,SP,2020-05-01,Pessoa Jurídica
10285,Felipe Lima,2001-04-04,F,Londrina,PR,2023-03-25,Pessoa Física
10286,Carla Costa,2004-04-20,M,Goiânia,GO,2019-03-26,Alta Renda
10287,Rafael Silva,1991-12-29,F,Santa Cruz do Sul,RS,2020-05-20,Pessoa Física
10288,Eduarda Almeida,1997-10-05,F,Campinas,SP,2020-05-12,Pessoa Física
10289,Bruno Silva,1992-05-29,M,Curitiba,PR,2025-10-07,Pessoa Física
10290,Patrícia Lima,1980-10-05,F,Goiânia,GO,2026-06-22,Pessoa Física
10291,Empresa Santos 291 Ltda,2020-05-01,PJ,Florianópolis,SC,2025-01-20,Pessoa Jurídica
10292,Gabriela Almeida,1960-04-19,F,São Paulo,SP,2020-05-09,Pessoa Física
10293,Otávio Almeida,1950-08-06,F,São Paulo,SP,2025-09-09,Pessoa Física
10294,Otávio Rodrigues,2002-11-23,M,Santa Cruz do Sul,RS,2025-04-14,Pessoa Física
10295,Empresa Santos 295 Ltda,2010-04-17,PJ,Brasília,DF,2019-08-02,Pessoa Jurídica
10296,Ana Nascimento,1956-04-25,M,Caxias do Sul,RS,2024-11-27,Pessoa Física
10297,Henrique Almeida,1966-10-23,M,Santa Maria,RS,2026-12-29,Pessoa Física
10298,Gabriela Silva,1956-07-08,M,Brasília,DF,2018-08-14,Pessoa Física
10299,Gabriela Silva,1994-08-15,M,Goiânia,GO,2018-01-23,Alta Renda
10300,Natália Rodrigues,2004-12-11,F,Brasília,DF,2026-09-05,Pessoa Física
10301,Bruno Nascimento,1959-09-23,F,Porto Alegre,RS,2019-12-10,Pessoa Física
10302,Marcos Araújo,1957-11-21,M,Curitiba,PR,2024-01-11,Pessoa Física
10303,Rafael Nascimento,1972-06-10,F,Rio de Janeiro,RJ,2025-12-01,Pessoa Física
10304,Carla Souza,1966-06-24,F,Goiânia,GO,2026-01-05,Pessoa Física
